;day;Australia;Austria;Bahrain;Bangladesh;Belarus;Belgium;Bosnia and Herzegovina;Brazil;Burkina Faso;Canada;Chile;China;Chinese Taipei;Colombia;Cote d'Ivoire;Croatia;Czech Republic;Denmark;Ecuador;El Salvador;Finland;France;Gambia;Georgia;Germany;Ghana;Gibraltar;Hong Kong;Hungary;India;Indonesia;Iran;Ireland;Israel;Italy;Japan;Jordan;Latvia;Lithuania;Luxembourg;Macedonia;Madagascar;Malaysia;Malta;Mexico;Netherlands;New Zealand;Nigeria;Norway;Pakistan;Papua New Guinea;Peru;Poland;Portugal;Romania;Russian Federation;Rwanda;Singapore;Slovakia;South Africa;South Korea;Spain;Sri Lanka;Sweden;Switzerland;Thailand;Trinidad and Tobago;Tunisia;Turkey;Uganda;United Arab Emirates;United Kingdom;United States of America
31;2020-09-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;2020-09-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;2020-09-16;6.518513425E-07;1.0077777175E-05;5.98147463055556E-07;1.25740768527778E-06;8.88889036944445E-07;3.58091235E-05;1.12962972222222E-07;2.40185248138889E-06;2.96296203611111E-08;5.10833273055556E-06;1.11111175916667E-07;7.71759001944444E-06;6.28703509166667E-07;2.20370370361111E-07;8.98148333333333E-08;1.44472218527778E-05;9.994443425E-06;1.70462960833333E-05;1.75925870361111E-07;2.77777777777778E-09;2.53148191666667E-06;0.000256899579166667;1.12037148138889E-07;6.20370370277778E-08;6.93981456388889E-05;2.83333375E-06;7.05370210277778E-06;5.83426410277778E-06;1.45879625361111E-05;1.42925956944444E-05;5.43519388888889E-07;1.44629627777778E-06;8.81906479166667E-05;3.80277777777778E-06;0.000181997225055556;1.37407437027778E-06;3.62962805555556E-07;9.03148138055555E-06;2.17537037583333E-05;1.47777766666667E-06;2.09166666666667E-06;9.25925E-09;7.99999518611111E-07;1.09546294722222E-05;3.58333435277778E-07;4.56691488888889E-05;6.37962963055555E-07;5.60463019444444E-06;6.43240660277778E-06;1.17314839638889E-05;9.25925916666667E-10;3.98148518611111E-08;9.64805554166667E-05;8.92203694444445E-05;5.49759255555556E-05;8.73888830555556E-06;1.28703675916667E-07;2.38518420361111E-06;8.73796296388889E-06;1.28703768527778E-07;1.16388873138889E-06;0.000195092593083333;1.67500004638889E-06;1.42787025277778E-05;1.71555540638889E-05;1.29537038888889E-06;1.018525925E-08;8.185184075E-07;8.88175916388889E-05;4.999999075E-08;1.23583411944444E-05;1;1.76000051194444E-05
34;2020-09-17;1.41140203188029E-06;2.1820611931365E-05;1.29512127946664E-06;2.72256517121915E-06;1.92464095885405E-06;7.75346560979924E-05;2.44589767829896E-07;5.20054075444201E-06;6.41546678743148E-08;1.10606678629747E-05;2.40580220103468E-07;1.67102858036423E-05;1.36128186356861E-06;4.77150491553806E-07;1.94468937922999E-07;3.12814240741337E-05;2.16401759693508E-05;3.69089934459246E-05;3.80918339349712E-07;6.01450199462842E-09;5.48121709337668E-06;0.000556244291274163;2.42585154343378E-07;1.34323877859986E-07;0.0001502623027327;6.13479293669629E-06;1.52728219320018E-05;1.26324695100045E-05;3.15861587175618E-05;3.09466243125553E-05;1.17683944149292E-06;3.13155066510652E-06;0.000190952218008851;8.23385323064631E-06;0.000394064162320852;2.97517429468926E-06;7.85894586476334E-07;1.95551506000083E-05;4.71015700722186E-05;3.19971482056224E-06;4.5289200019552E-06;2.00483199337548E-08;1.73217553213979E-06;2.37191906919945E-05;7.7587097803929E-07;9.88837873506737E-05;1.38133062496681E-06;1.21352614141107E-05;1.39275800433605E-05;2.5401252132274E-05;2.00483397816113E-09;8.62079421364157E-08;0.000208901697478704;0.000193181792394635;0.000119035013007756;1.89216220120556E-05;2.78671865586049E-07;5.16445025406308E-06;1.89196184431076E-05;2.78672066109545E-07;2.52007599472705E-06;0.000422418524485298;3.62674480320312E-06;3.09165425402491E-05;3.71455610890376E-05;2.80476280359173E-06;2.20533343469757E-08;1.77227301403758E-06;0.000192309689545268;1.0826101587502E-07;2.67585363951425E-05;2.16522071806623;3.81078957226929E-05
35;2020-09-18;2.29644623156769E-06;3.55036062783097E-05;2.10724961029854E-06;4.42979702906787E-06;3.13152055704004E-06;0.000126154111153521;3.97964037124626E-07;8.46163031361251E-06;1.04383968528921E-07;1.79964520801431E-05;3.91440232738162E-07;2.71887612426565E-05;2.21489733972462E-06;7.76356008755093E-07;3.16414068821548E-07;5.08969852745741E-05;3.52100248070866E-05;6.00534199294954E-05;6.19779811262779E-07;9.78600011076949E-09;8.91830963408795E-06;0.000905046951665389;3.94702395875087E-07;2.18554002441232E-07;0.000244486893927371;9.9817215808849E-06;2.48499106412826E-05;2.05538792961751E-05;5.13928090779424E-05;5.03522434976461E-05;1.91479708795393E-06;5.09524399243398E-06;0.00031069212850128;1.33970341516434E-05;0.000641168951239227;4.84080909830779E-06;1.27870345993387E-06;3.18175480045905E-05;7.66374290599308E-05;5.20615166748937E-06;7.36885808340943E-06;3.26199677492313E-08;2.81836633598779E-06;3.85927218822979E-05;1.26239437343547E-06;0.000160890586590749;2.24751802576626E-06;1.97448882133159E-05;2.26611114218272E-05;4.13295492132386E-05;3.26200000430316E-09;1.40266132100318E-07;0.000339897141358057;0.000314319796295842;0.000193677988887476;3.07867542934208E-05;4.53417907239699E-07;8.40290863706783E-06;3.07834943517059E-05;4.53418233504942E-07;4.10033349154621E-06;0.000687303409508571;5.90095823022021E-06;5.03032984266521E-05;6.04383314290303E-05;4.56353811689551E-06;3.58822613335378E-08;2.88360764152627E-06;0.000312900826181921;1.76147969406471E-07;4.35379421871938E-05;3.52296003987702;6.20041147374337E-05
36;2020-09-19;3.32771806944779E-06;5.14473147765528E-05;3.0535583671124E-06;6.4190989603759E-06;4.53780166905781E-06;0.000182806507485313;5.76678913325116E-07;1.22615194314275E-05;1.51259983124983E-07;2.60781715460244E-05;5.67225444987841E-07;3.93984979179439E-05;3.20954777780358E-06;1.12499647635775E-06;4.58507061811835E-07;7.37534435818235E-05;5.10218938138433E-05;8.7021785175913E-05;8.9810614708368E-07;1.41806278538448E-08;1.29232810724356E-05;0.00131147903806987;5.7195255728292E-07;3.16700688688599E-07;0.000354279339738723;1.44642425380159E-05;3.60093328240948E-05;2.97840700953135E-05;7.4471928433352E-05;7.29640730190174E-05;2.7746806266657E-06;7.38338014136436E-06;0.000450215552986454;1.94132795319136E-05;0.0009291005708203;7.01468542382953E-06;1.85293456933348E-06;4.61059475135713E-05;0.000111053223878296;7.54409345102034E-06;1.06780127739452E-05;4.72687122440566E-08;4.0840183644045E-06;5.59236685760438E-05;1.82930151357503E-06;0.000233142193726259;3.25681753090572E-06;2.86117830165019E-05;3.28376031258981E-05;5.98895309754924E-05;4.72687590401285E-09;2.03255855027416E-07;0.000492535746538561;0.000455472308186717;0.000280653530840644;4.4612252250264E-05;6.57035615374597E-07;1.21764274395402E-05;4.46075283569714E-05;6.57036088156729E-07;5.94168226671938E-06;0.00099595276544028;8.55091883268492E-06;7.28931480415813E-05;8.75795500103485E-05;6.61289955038049E-06;5.1996013566905E-08;4.17855777418052E-06;0.000453416117006104;2.55251254147716E-07;6.30896534529325E-05;5.10502602738414;8.9848484216858E-05
37;2020-09-20;4.52937738090393E-06;7.00252542415143E-05;4.15621693623942E-06;8.73707478522519E-06;6.17642955620613E-06;0.000248819053419216;7.84921189700568E-07;1.66892289578598E-05;2.0588088651269E-07;3.54951585052685E-05;7.72054016230837E-07;5.3625536054122E-05;4.36853507548683E-06;1.53123957236467E-06;6.24076761136158E-07;0.000100386262343047;6.94462111718655E-05;0.000118445883093416;1.22241775996565E-06;1.93013391482649E-08;1.75899567676618E-05;0.00178506212563525;7.78488117635911E-07;4.31063240913577E-07;0.000482211772285274;1.9687368826431E-05;4.90125227531554E-05;4.0539279646174E-05;0.000101364196460999;9.93118452507009E-05;3.77663474109676E-06;1.00495637878543E-05;0.000612791137852128;2.64235332939746E-05;0.00126460445934253;9.54773115684115E-06;2.52204055496406E-06;6.27550866494432E-05;0.000151155221029371;1.02683116548233E-05;1.45339083786434E-05;6.43377328230857E-08;5.55878232977821E-06;7.6118046727298E-05;2.48987345848531E-06;0.000317331263274137;4.43287422502821E-06;3.8943672546088E-05;4.46954620967108E-05;8.1516006251802E-05;6.43377965175049E-09;2.76652785207323E-07;0.000670393411671617;0.000619946139449056;0.000381999234289514;6.072200890716E-05;8.94295187458543E-07;1.65734097281936E-05;6.07155791871589E-05;8.9429583096519E-07;8.08726000873705E-06;0.00135559738958971;1.16387078287361E-05;9.92153088308972E-05;0.000119205060214865;9.00085795148311E-06;7.07720915150106E-08;5.68746049761186E-06;0.000617147445079544;3.47424040395308E-07;8.58717124934202E-05;6.94848209337535;0.000122293320415774
38;2020-09-21;5.3621184610601E-06;7.18645515656908E-05;5.07228976784482E-06;1.21172059037054E-05;6.70175355532315E-06;0.000273533037945878;7.63945469024982E-07;2.16458481459319E-05;2.86932936961433E-07;3.85993706678203E-05;1.08461424375058E-06;6.10929522061619E-05;4.84793377495827E-06;1.65739152252515E-06;7.06812838640682E-07;9.30578696094006E-05;7.088150180362E-05;0.000125069758676235;1.48363532382777E-06;4.04463018340154E-08;2.13429531523966E-05;0.00195905836195274;1.03763832183722E-06;4.23869987438339E-07;0.000542172677889407;2.54666644161381E-05;5.70089619156827E-05;3.94834103484083E-05;0.0001093782235461;0.000118911422342955;4.47213317418571E-06;1.11548360091078E-05;0.000661961363174629;3.4520283739455E-05;0.00129938679405998;1.14998091976172E-05;3.3902337046079E-06;6.56198616686165E-05;0.000164940018951084;1.24505685071112E-05;1.66172633226651E-05;1.72304998187899E-07;6.25629712437313E-06;7.81486024019846E-05;3.99692956804315E-06;0.000348925759514731;4.88602358151781E-06;4.98655831554662E-05;4.86746716686961E-05;9.77802864363186E-05;2.73873697927273E-08;3.50595243650872E-07;0.000711673354220485;0.000652710436384105;0.000423856202221437;6.71259864189409E-05;9.21196330024388E-07;1.96946226490724E-05;6.75665446470566E-05;5.75298640916056E-06;8.50224559272139E-06;0.00142675871740185;1.23676818239365E-05;0.000123564535113044;0.000122076721981477;1.09620385438154E-05;1.05378627687617E-07;5.88085521722036E-06;0.000637904008707493;1.39186104183773E-06;0.000104864266821343;8.09651529431318;0.000142107650897515
39;2020-09-22;6.24805152355264E-06;8.3738064378882E-05;5.91033712552814E-06;1.4119219364072E-05;7.80902209003656E-06;0.000318726362890133;8.90165087980735E-07;2.52221907197553E-05;3.34340202843053E-07;4.49767864064622E-05;1.26381498792791E-06;7.118677363845E-05;5.64891287439441E-06;1.93122693999365E-06;8.23592963379327E-07;0.00010843295764798;8.25925944292271E-05;0.000145733874013093;1.72876261737902E-06;4.71288688661549E-08;2.48692511978895E-05;0.00228273539124823;1.20907767046421E-06;4.93902091129626E-07;0.000631750837046186;2.96742849977241E-05;6.64280235396023E-05;4.6006887757876E-05;0.000127449772181196;0.000138558052928735;5.21102222851249E-06;1.29978460244436E-05;0.000771331094930443;4.02237498067378E-05;0.00151407241322035;1.33998159308722E-05;3.95037055169556E-06;7.64616223329121E-05;0.00019219152732004;1.45076603761889E-05;1.93627795011315E-05;2.00773353714905E-07;7.28996702769776E-06;9.10603706067129E-05;4.6573051413354E-06;0.00040657552405356;5.69329590614473E-06;5.81044106112037E-05;5.67167358734362E-05;0.000113935615574049;3.19123306958271E-08;4.08520841557474E-07;0.000829256536833397;0.000760551723372811;0.000493886028309289;7.82165900959825E-05;1.073397049151E-06;2.29485823451956E-05;7.87299376708974E-05;6.70349895470734E-06;9.90699271472628E-06;0.00166248881719824;1.4411079095702E-05;0.000143979956331941;0.000142246325646428;1.27731944234943E-05;1.22789360223E-07;6.85249433905306E-06;0.000743298967083473;1.62182532261857E-06;0.000122190016285054;9.43422736507383;0.000165586779021508
40;2020-09-23;7.31994288098948E-06;9.81038401984093E-05;6.92429151763108E-06;1.65414575855484E-05;9.14870747143753E-06;0.000373405814953127;1.04287833960834E-06;2.9549211415122E-05;3.91698304408031E-07;5.26928285121709E-05;1.48063015948219E-06;8.33992989576202E-05;6.61801834129911E-06;2.26254070372064E-06;9.64885360883459E-07;0.000127035293068238;9.67618578905239E-05;0.000170735409203956;2.02534239135227E-06;5.52141138474065E-08;2.91357229650407E-05;0.00267435257429651;1.41650232126215E-06;5.78634008097046E-07;0.000740131547373341;3.47650896281399E-05;7.78241562467834E-05;5.38996500349377E-05;0.000149314558153806;0.0001623285322338;6.10500488360075E-06;1.522770580815E-05;0.000903657650059125;4.71243794860892E-05;0.00177382077287242;1.5698636104394E-05;4.62808072054958E-06;8.95790801268015E-05;0.00022516315636797;1.69965380231235E-05;2.26845824544171E-05;2.35217247437511E-07;8.54060534646528E-06;0.000106682332732088;5.45629425196057E-06;0.000476326035670751;6.67001555292144E-06;6.80725767392092E-05;6.64468379341498E-05;0.000133481965532544;3.7387085719786E-08;4.78605084260597E-07;0.000971520554916319;0.0008910290115472;0.000578615189601884;9.16351233164627E-05;1.25754486159236E-06;2.68855516529096E-05;9.22365387997229E-05;7.85352509758589E-06;1.1606597756246E-05;0.00194769891642241;1.68833876347388E-05;0.000168680596244172;0.000166649550637898;1.49645138544869E-05;1.43854624091598E-07;8.02808154911809E-06;0.000870816439659545;1.90005935126477E-06;0.000143152459044576;11.0527266265791;0.000193994201186624
