;r;T0;r2;Tcp2;r3;Tcp3;k;s;logL;logLEpid;logPrior;lp__;t2;t2.2;t2.3;dt.T0;dt.Tcp2;dt.Tcp3;model
5417;0.179037526676793;34;0.0585262774183262;83;0.0585262774183262;139;1;54.1326001693014;-161.309581421378;0;-8.5096076396738;-169.819189061051;3.87151896826216;11.8433498786462;11.8433498786462;2020-09-18;2020-11-06;2021-01-01;import
5418;0.178985391311506;34;0.0455773733133741;83;0.0455773733133741;139;1;63.4059492065229;-160.66247350575;0;-8.82165327840458;-169.484126784155;3.87264667513334;15.2081423340065;15.2081423340065;2020-09-18;2020-11-06;2021-01-01;import
5419;0.174565934363742;34;0.053179335886366;83;0.053179335886366;139;1;46.5407718119817;-160.696831892471;0;-8.5889774456194;-169.285809338091;3.97068983181815;13.0341451055551;13.0341451055551;2020-09-18;2020-11-06;2021-01-01;import
5420;0.176526393700209;31;0.0393527349474944;83;0.0393527349474944;139;1;94.5688300518749;-161.533609641211;0;-9.01619753381762;-170.549807175029;3.9265923130855;17.6136977896139;17.6136977896139;2020-09-15;2020-11-06;2021-01-01;import
5421;0.176108810312424;31;0.0418550029577773;83;0.0418550029577773;139;1;62.0506843358863;-161.28226563664;0;-8.91791166434451;-170.200177300984;3.93590291894128;16.5606768982714;16.5606768982714;2020-09-15;2020-11-06;2021-01-01;import
5422;0.177280886075039;36;0.058374218286194;83;0.058374218286194;139;1;131.01814011947;-161.406123299257;0;-8.51018142493244;-169.916304724189;3.90988107012591;11.8742006473067;11.8742006473067;2020-09-20;2020-11-06;2021-01-01;import
5423;0.190621170311758;36;0.0298049451445946;83;0.0298049451445946;139;1;135.824940710641;-161.727380947408;0;-9.61652076045234;-171.34390170786;3.63625498377916;23.2561132790964;23.2561132790964;2020-09-20;2020-11-06;2021-01-01;import
5424;0.182132440730419;36;0.0471859599549707;83;0.0471859599549707;139;1;124.909052230217;-160.911352584425;0;-8.80529405265468;-169.71664663708;3.80573157522168;14.6896911967333;14.6896911967333;2020-09-20;2020-11-06;2021-01-01;import
5425;0.209096718616742;37;0.0339785833147316;83;0.0339785833147316;139;1;31.5491776825571;-161.883174081351;0;-9.53298427344588;-171.416158354797;3.31495962799124;20.3995314972248;20.3995314972248;2020-09-21;2020-11-06;2021-01-01;import
5426;0.197547870621534;35;0.025289709839447;83;0.025289709839447;139;1;245.840927634349;-161.97582337266;0;-10.0142069017521;-171.990030274413;3.50875551520315;27.4082694091955;27.4082694091955;2020-09-19;2020-11-06;2021-01-01;import
5427;0.19478367555477;37;0.0411994821219931;83;0.0411994821219931;139;1;83.3937095440539;-160.431130761116;0;-9.09703295320178;-169.528163714317;3.55854862367583;16.8241721705994;16.8241721705994;2020-09-21;2020-11-06;2021-01-01;import
