"country","year_week","count_deaths","r_deaths","R_epiestim_deaths","count_cases","r_cases","R_epiestim_cases","R_deaths","R_cases"
"Portugal","2021-22",11,0.0645693033918653,1.25665897533728,3941,0.0118218522799966,1.11940187115191,1.47625896040895,1.0786949081908
"Portugal","2021-23",11,0,1.21991894100046,5038,0.0350820971025074,1.25004732478118,1.0000087081713,1.24448874084656
"Portugal","2021-24",21,0.0923753092750075,1.44080004847214,7734,0.061231002179241,1.36471623277184,1.71777847466137,1.44877934242889
"Portugal","2021-25",18,-0.0220215256896083,1.01053996630457,9643,0.0315151529061631,1.24392285379051,0.863164892789138,1.21810472688715
"Singapore","2020-01",0,NA,NA,0,NA,NA,NA,NA
"Singapore","2020-02",0,NA,3.46573590279973,0,NA,3.46573590279973,NA,NA
"Singapore","2020-03",0,NA,3.46573590279973,0,NA,5.5098180162005,NA,NA
"Singapore","2020-04",0,NA,3.46573590279973,4,Inf,3.94777541593589,NA,NA
"Singapore","2020-05",0,NA,3.46573590279973,14,0.178966138356481,2.33405031967932,NA,2.6218164288427
"Singapore","2020-06",0,NA,3.46573590279973,25,0.0828312136075632,1.63612453599764,NA,1.63231304394665
"Singapore","2020-07",0,NA,3.46573590279973,32,0.0352657254187894,1.19329519491056,NA,1.24585652207776
"Singapore","2020-08",0,NA,3.46573590279973,14,-0.118096939026353,0.676989678434102,NA,0.403908081891013
"Singapore","2020-09",0,NA,3.46573590279973,17,0.0277365734915653,1.12948571673642,NA,1.19053743716957
"Singapore","2020-10",0,NA,3.46573590279973,44,0.135853755694578,1.81986809785491,NA,2.14211897953011
"Singapore","2020-11",0,NA,4.51427676452287,76,0.0780776723382957,1.87610530020679,NA,1.59075281608275
"Singapore","2020-12",2,Inf,3.01583909074939,229,0.157569809038273,2.03029961589454,NA,2.3762239869679
"Singapore","2020-13",1,-0.0990210257942779,1.31701280755865,389,0.0756939057234581,1.54454963021428,0.478305122672897,1.57016172991548
"Singapore","2020-14",3,0.156944612666873,1.74293830876277,465,0.0254940088527014,1.44767760102718,2.36927250358149,1.17436145539859
"Singapore","2020-15",2,-0.0579235868725949,1.13602613753659,1223,0.138146390014259,2.20282066427682,0.666209291278985,2.16612444920107
"Singapore","2020-16",3,0.0579235868725949,1.26566629191153,4056,0.171270058511978,2.15024719819036,1.4218696233982,2.53174902217708
"Singapore","2020-17",1,-0.156944612666873,1.01954654946675,7036,0.07869179436949,1.46472566603049,0.27588510652105,1.59608465499203
"Singapore","2020-18",6,0.255965638461151,1.88475466697656,4581,-0.0613032159958152,0.866985704477753,3.63379454586441,0.649280384587781
"Singapore","2020-19",2,-0.156944612666873,0.755197038946761,5131,0.0161976081507461,0.982587139914759,0.27588510652105,1.10876397857111
"Singapore","2020-20",2,0,0.908554124303121,4702,-0.0124732316917071,0.931120911880885,1.0000087081713,0.920963764764662
"Singapore","2020-21",1,-0.0990210257942779,0.837161330794139,3578,-0.0390262807187643,0.825992796627097,0.478305122672897,0.765926769534195
"Singapore","2020-22",0,-Inf,0.940379561370753,3268,-0.0129465440126816,0.883744657784743,NA,0.918043675641557
"Singapore","2020-23",2,Inf,2.35776028311021,3026,-0.0109909373759418,0.917315172947777,NA,0.930146070242667
"Singapore","2020-24",1,-0.0990210257942779,1.06725356760179,2694,-0.0166020767682846,0.86698965205647,0.478305122672897,0.895684709959828
"Singapore","2020-25",0,-Inf,0.773017985391449,1491,-0.0845114346007958,0.670455947840731,NA,0.540241376806776
"Singapore","2020-26",0,NA,1.70706058630294,1364,-0.0127179251944759,0.806428756107069,NA,0.919453414355892
"Singapore","2020-27",0,NA,3.01816524868,1205,-0.0177059989255217,0.898173791032146,NA,0.888999857858566
"Singapore","2020-28",0,NA,3.92641759399561,1297,0.0105106197702412,1.07556540039238,NA,1.06978431440094
"Singapore","2020-29",1,Inf,2.98146067813734,1951,0.058326879472381,1.31277557254606,NA,1.42513411183051
"Singapore","2020-30",0,-Inf,1.11167140418157,2457,0.0329427188425811,1.21479053481123,NA,1.22862200642757
"Singapore","2020-31",0,NA,1.9350967289025,2456,-5.8154750592285e-05,1.03856365261208,NA,0.999630755912218
"Singapore","2020-32",0,NA,3.09830995259404,2279,-0.0106853228601927,0.880956302090207,NA,0.93204629184565
"Singapore","2020-33",0,NA,3.4153932478872,643,-0.180763900715438,0.455004532780144,NA,0.212049074548037
"Singapore","2020-34",0,NA,3.45991786047805,606,-0.00846639116690071,0.625922998450842,NA,0.94591533403889
"Singapore","2020-35",0,NA,3.46510324051064,418,-0.0530569362206512,0.69754494791989,NA,0.691065083055753
"Singapore","2020-36",0,NA,3.46566937657582,251,-0.0728612133418532,0.699172132727253,NA,0.593418005531992
"Singapore","2020-37",0,NA,3.4657290652799,384,0.060741373350849,1.05259451889273,NA,1.44477585633954
"Singapore","2020-38",0,NA,3.46573521178958,170,-0.116406302219638,0.629462384094502,NA,0.410186007863625
"Singapore","2020-39",0,NA,3.465735833866,124,-0.0450738387778893,0.664877742341174,NA,0.733072090865288
"Singapore","2020-40",0,NA,3.46573589599215,112,-0.0145403849014203,0.804467499940322,NA,0.908252854968851
"Singapore","2020-41",0,NA,3.99646199664864,64,-0.0799451125622033,0.652962757134058,NA,0.560713778371272
"Singapore","2020-42",1,Inf,2.98400086523225,35,-0.0862192888386083,0.643820788453143,NA,0.532706083584374
"Singapore","2020-43",0,-Inf,1.11173872994964,59,0.0745984832023294,1.13912754676419,NA,1.56075526149402
"Singapore","2020-44",0,NA,1.93512175880955,49,-0.0265310208278704,0.9355923625938,NA,0.836672890313501
"Singapore","2020-45",0,NA,3.09831652828789,37,-0.040128912209486,0.896775358457636,NA,0.759869636931971
"Singapore","2020-46",0,NA,3.41539405363834,63,0.0760309733924726,1.23098501241272,NA,1.57306322145503
"Singapore","2020-47",0,NA,3.9898592063667,41,-0.0613660942410321,0.872636024620115,NA,0.64896798762427
"Singapore","2020-48",1,Inf,2.98377435542385,53,0.036674263835402,1.07200185163005,NA,1.25637928563597
"Singapore","2020-49",0,-Inf,1.11173288752605,47,-0.0171634731202947,1.0033445566185,NA,0.892281258279
"Singapore","2020-50",0,NA,1.93511962714156,60,0.0348852800731489,1.23779321027462,NA,1.24302375805567
"Singapore","2020-51",0,NA,3.09831597603392,102,0.0758040358660243,1.39600323288819,NA,1.57110936838529
"Singapore","2020-52",0,NA,3.41539398669578,102,0,1.18075251689114,NA,1.0000087081713
"Singapore","2020-53",0,NA,3.45991793604462,173,0.0754741116019297,1.39713018937022,NA,1.5682715260288
"Singapore","2021-01",0,NA,3.46510324799324,210,0.0276879908885271,1.20678997343406,NA,1.19018554503187
"Singapore","2021-02",0,NA,3.46566937731058,206,-0.00274733741826966,1.02782714536796,NA,0.982250395567907
"Singapore","2021-03",0,NA,3.46572906535245,195,-0.00783951574654775,0.991969385188357,NA,0.949856596111439
"Singapore","2021-04",0,NA,3.46573521179764,228,0.0223351529129563,1.04991362831488,NA,1.15180888370755
